"title","level","service","category","description","id"
"Eventlog Cleared","medium","system","","One of the Windows Eventlogs has been cleared. e.g. caused by ""wevtutil cl"" command execution","8617b59c-812e-c88e-0bd4-5267e0e825f0"
"Active Directory Certificate Services Denied Certificate Enrollment Request","low","system","","Detects denied requests by Active Directory Certificate Services.
Example of these requests denial include issues with permissions on the certificate template or invalid signatures.
","817138f1-cfd3-c653-7392-a3c61051a8d3"
"Vulnerable Netlogon Secure Channel Connection Allowed","high","system","","Detects that a vulnerable Netlogon secure channel connection was allowed, which could be an indicator of CVE-2020-1472.","a82f6b3b-324f-7234-9092-289117234d31"
"Zerologon Exploitation Using Well-known Tools","critical","system","","This rule is designed to detect attempts to exploit Zerologon (CVE-2020-1472) vulnerability using mimikatz zerologon module or other exploits from machine with ""kali"" hostname.","4d943318-24e9-7318-6951-fdf8cb235652"
"NTLMv1 Logon Between Client and Server","medium","system","","Detects the reporting of NTLMv1 being used between a client and server. NTLMv1 is insecure as the underlying encryption algorithms can be brute-forced by modern hardware.","cb063566-b04b-c7e4-316b-c69075ed08f5"
"Crash Dump Created By Operating System","medium","system","","Detects ""BugCheck"" errors indicating the system rebooted due to a crash, capturing the bugcheck code, dump file path, and report ID.","d4ccca35-9fd6-1ed8-f5d5-84f755404fdd"
"Malicious Service Installations","critical","system","","Detects known malicious service installs that only appear in cases of lateral movement, credential dumping, and other suspicious activities.","a5f841a8-5dcb-5ee4-73ea-5331859bf763"
"Metasploit Or Impacket Service Installation Via SMB PsExec","high","system","","Detects usage of Metasploit SMB PsExec (exploit/windows/smb/psexec) and Impacket psexec.py by triggering on specific service installation","c953a767-8b94-df03-dd53-611baad380fd"
"Rare Service Installations","low","system","","Detects rare service installs that only appear a few times per time frame and could reveal password dumpers, backdoor installs or other types of malicious services","e9acc9e9-8b91-7859-2d0c-446a2c40b937"
"OilRig APT Schedule Task Persistence - System","critical","system","","Detects OilRig schedule task persistence as reported by Nyotron in their March 2018 report","afa88090-3c0b-17fc-7061-2259abc82d2b"
"Goofy Guineapig Backdoor Service Creation","critical","system","","Detects service creation persistence used by the Goofy Guineapig backdoor","0375abd6-f86e-a665-27a0-501b2a1621a8"
"Potential CVE-2021-42278 Exploitation Attempt","medium","system","","The attacker creates a computer object using those permissions with a password known to her.
After that she clears the attribute ServicePrincipalName on the computer object.
Because she created the object (CREATOR OWNER), she gets granted additional permissions and can do many changes to the object.
","8a194220-2afd-d5a9-0644-0a2d76019999"
"Turla Service Install","high","system","","This method detects a service install of malicious services mentioned in Carbon Paper - Turla report by ESET","665e3be1-3ec1-2e79-bd0f-dca344762794"
"Turla PNG Dropper Service","critical","system","","This method detects malicious services mentioned in Turla PNG dropper report by NCC Group in November 2018","75a0da35-0e7f-e313-f974-d812b44295a4"
"StoneDrill Service Install","high","system","","This method detects a service install of the malicious Microsoft Network Realtime Inspection Service service described in StoneDrill report by Kaspersky","c1362f8e-594e-72a7-d9a9-6fe6c74334ef"
"SNAKE Malware Service Persistence","critical","system","","Detects the creation of a service named ""WerFaultSvc"" which seems to be used by the SNAKE malware as a persistence mechanism as described by CISA in their report","abdb2e55-7d24-7f3d-6091-2b42abca2e67"
"COLDSTEEL Persistence Service Creation","high","system","","Detects the creation of new services potentially related to COLDSTEEL RAT","d8f1ace1-c01b-3f95-34ed-993d29f876f5"
"Task Deleted","informational","taskscheduler","","","ff6ada24-c7f0-4ae5-a7a6-f20ddb7b591f"
"Task Executed","informational","taskscheduler","","","d1923809-955b-47c4-b3e5-37c0e461919c"
"Task Updated","informational","taskscheduler","","","aba04101-e439-4e2f-b051-4be561993c31"
"Task Created","informational","taskscheduler","","","33599dfb-f3e4-4298-8d3f-59407f65f4e7"
"Important Scheduled Task Deleted","high","taskscheduler","","Detects when adversaries try to stop system services or processes by deleting their respective scheduled tasks in order to conduct data destructive activities
","0c0e2be2-30d2-c713-0c9c-63cd9752a940"
"Scheduled Task Executed Uncommon LOLBIN","medium","taskscheduler","","Detects the execution of Scheduled Tasks where the program being run is located in a suspicious location or where it is an unusual program to be run from a Scheduled Task","d5a3d13e-7db3-bcf5-824a-789488ab40fd"
"Scheduled Task Executed From A Suspicious Location","medium","taskscheduler","","Detects the execution of Scheduled Tasks where the Program being run is located in a suspicious location or it's an unusale program to be run from a Scheduled Task","c1fd9ca2-a3f8-1adc-0f1d-1d6099f5d827"
"Rare Scheduled Task Creations","low","taskscheduler","","This rule detects rare scheduled task creations. Typically software gets installed on multiple systems and not only on a few. The aggregation and count function selects tasks with rare names.","696cf23d-d3f2-0a4d-6aff-b162d692a778"
"Scheduled Tasks Names Used By SVR For GraphicalProton Backdoor - Task Scheduler","high","taskscheduler","","Hunts for known SVR-specific scheduled task names","51850e92-9de2-230e-98f6-5775d63df091"
"RDP Disconnect","informational","terminalservices-localsessionmanager","","Event 24 is created when a local session disconnects. That happens after a user successfully logs off or disconnects a local or remote interactive logon session.
This event immediately follows a EID 23 RDP Logoff event.
This event has the same information as EID 23 and Security EID 4634.
","3fc6234f-93a5-4d48-b618-30e2c69c0a86"
"RDP Reconnect","informational","terminalservices-localsessionmanager","","","8fe4a60b-2af3-43d6-95e2-8f13caccc179"
"RDP Sess Start (Noisy)","informational","terminalservices-localsessionmanager","","This event is created when a new local session is created for either a local or remote interactive login.
Original event message: “Shell start notification received”
The Local Session Manager is responsible for creating or finding existing local sessions to support interactive logins.
Note that local sessions are different from logon sessions.
Local sessions represent the logon sessions, desktop layout, processes, etc. associated with an interactive logon. 
Event 22 is created when a new local session needs to be created.
That happens after a user successfully authenticates for a local or remote interactive logon session and the user does not already have an existing local session.
This event follows a Local Session Manager 21 event.
This event gives the same information in Remote Connection Manager 1149, Local Session Manager 21 and Security 4648.
","320e2cb0-a56a-476f-a299-79dc45644fee"
"RDP Logoff","informational","terminalservices-localsessionmanager","","Event 23 is created when a local session logs off. That happens after a user successfully logs off a local or remote interactive logon session. Not just a disconnect.","e14a729f-f4f8-427b-a238-dfbde9c1614b"
"RDP Logon","informational","terminalservices-localsessionmanager","","This event is created when a new local session is created for either a local or remote interactive login when a user successfully authenticates and there is no existing local session.
This event will be created when a user logs on for the first time or after a logout but not after just a disconnect because the session will still exist.
In that case, a reconnect event will be created.
The Local Session Manager is responsible for creating or finding existing local sessions to support interactive logins.
Note that local sessions are different from logon sessions.
Local sessions represent the logon sessions, desktop layout, processes, etc. associated with an interactive logon. 
SrcIP will be an IP address if it is a remote session and ""LOCAL"" if it is a local session.
This event gives the same information in Remote Connection Manager 1149, Local Session Manager 22 and Security 4648.
","b107551c-409d-44b8-bb0d-3b007c269881"
"Ngrok Usage with Remote Desktop Service","high","terminalservices-localsessionmanager","","Detects cases in which ngrok, a reverse proxy tool, forwards events to the local RDP port, which could be a sign of malicious behaviour","cfba8e23-d224-ff3b-7cb7-dbc6085172a0"
"Temporary WMI Event Consumer","informational","wmi","","","d96164c4-9e15-4d48-964f-153ac0dab6e9"
"WMI Provider Started","informational","wmi","","The time wmiprvse was executed and path to the provider DLL. Attackers may sometimes install malicious WMI provider DLLs.","547aec97-2635-474a-a36c-7a3a46b07fde"
"Permanent WMI Event Consumer","informational","wmi","","Created when a EventFilterToConsumerBinding event happens.","ac9f0a2a-e9c5-4d19-b69e-e3d518ca6797"
"WMI Filter To Consumer Binding_Command Execution","medium","wmi","","Detects when powershell or cmd is used in WMI. (For persistence, lateral movement, etc...)","ab4852ca-3e27-4dbb-af6b-5f8458d5717a"
"Suspicious Scripting in a WMI Consumer","high","","wmi_event","Detects suspicious commands that are related to scripting/powershell in WMI Event Consumers","93786e05-1808-f3b1-9841-7fee02fd7247"
"Suspicious Encoded Scripts in a WMI Consumer","high","","wmi_event","Detects suspicious encoded payloads in WMI Event Consumers","f4e538d8-94a9-8ecc-779e-e03aa85aedb4"
"WMI Persistence","medium","wmi","","Detects suspicious WMI event filter and command line event consumer based on WMI and Security Logs.","efac5da1-1be2-d8d6-863e-d61125c1cbbd"
"Defender Alert (High)","high","windefend","","Windows defender malware detection","1e11c0f0-aecd-45d8-9229-da679c0265ea"
"Defender Alert (Severe)","critical","windefend","","Windows defender malware detection","810bfd3a-9fb3-44e0-9016-8cdf785fddbf"
"Defender Alert (Moderate)","medium","windefend","","Windows defender malware detection","3f5005fc-e354-4b0b-b1a1-3eec1d336023"
"Defender Alert (Low)","low","windefend","","Windows defender malware detection","61056ed8-7be5-46e4-9015-c5f6bc8b93a1"
"Antivirus Exploitation Framework Detection","critical","windefend","antivirus","Detects a highly relevant Antivirus alert that reports an exploitation framework.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
","1868a1c5-30e8-dffd-a373-90c72ea4921a"
"Antivirus Ransomware Detection","critical","windefend","antivirus","Detects a highly relevant Antivirus alert that reports ransomware.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
","22f82564-4b51-e901-bf00-ea94ff39b468"
"Antivirus Relevant File Paths Alerts","high","windefend","antivirus","Detects an Antivirus alert in a highly relevant file path or with a relevant file name.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
","a1be9170-2ada-e8bb-285c-3e1ff336189e"
"Antivirus Hacktool Detection","high","windefend","antivirus","Detects a highly relevant Antivirus alert that reports a hack tool or other attack tool.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
","f3d20838-65fe-0575-52a9-fd41ce2a5fdd"
"Antivirus Password Dumper Detection","critical","windefend","antivirus","Detects a highly relevant Antivirus alert that reports a password dumper.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
","46fc2e9f-df4e-8628-05d5-39bc97b56bab"
"Antivirus Web Shell Detection","high","windefend","antivirus","Detects a highly relevant Antivirus alert that reports a web shell.
It's highly recommended to tune this rule to the specific strings used by your anti virus solution by downloading a big WebShell repository from e.g. github and checking the matches.
This event must not be ignored just because the AV has blocked the malware but investigate, how it came there in the first place.
","207b56b3-b44d-dcee-c171-c8f3f4eb3cf6"
"Windows Defender Threat Detection Disabled","high","windefend","","Detects disabling Windows Defender threat protection","7424bd72-6b38-f5a1-7f25-4665452ec72b"
"Windows Defender AMSI Trigger Detected","high","windefend","","Detects triggering of AMSI by Windows Defender.","4947e388-9eb4-8e77-4de7-17accc04246e"
"Windows Defender Malware Detection History Deletion","informational","windefend","","Windows Defender logs when the history of detected infections is deleted.","e9310b5d-113f-86dc-a3e0-3ed5cefa6088"
"Windows Defender Malware And PUA Scanning Disabled","high","windefend","","Detects disabling of the Windows Defender feature of scanning for malware and other potentially unwanted software","ac622fde-5d5a-e064-bfd2-55cbb5f1eacb"
"LSASS Access Detected via Attack Surface Reduction","high","windefend","","Detects Access to LSASS Process","db45bac6-e4cf-df15-bb73-abdc2bb5b466"
"Windows Defender Configuration Changes","high","windefend","","Detects suspicious changes to the Windows Defender configuration","36d5c11e-504a-a3a6-2704-4d6f5f35be41"
"Windows Defender Exclusions Added","medium","windefend","","Detects the Setting of Windows Defender Exclusions","13020ca6-8f32-26e1-25d6-1f727e58de89"
"PSExec and WMI Process Creations Block","high","windefend","","Detects blocking of process creations originating from PSExec and WMI commands","c73d596d-c719-ab68-1753-6aa80ff340d7"
"Windows Defender Grace Period Expired","high","windefend","","Detects the expiration of the grace period of Windows Defender. This means protection against viruses, spyware, and other potentially unwanted software is disabled.
","5a62f5a9-71eb-a0e2-496d-e062350225df"
"Windows Defender Real-time Protection Disabled","high","windefend","","Detects disabling of Windows Defender Real-time Protection. As this event doesn't contain a lot of information on who initiated this action you might want to reduce it to a ""medium"" level if this occurs too many times in your environment
","e6c2628d-e4dc-0b32-e087-1c205385af72"
"Win Defender Restored Quarantine File","high","windefend","","Detects the restoration of files from the defender quarantine","77f49adb-372a-8c7c-0bee-7e361b09b30e"
"Windows Defender Threat Detected","high","windefend","","Detects actions taken by Windows Defender malware detection engines","c70d7033-8146-fe73-8430-90b23c296f9d"
"Windows Defender Submit Sample Feature Disabled","low","windefend","","Detects disabling of the ""Automatic Sample Submission"" feature of Windows Defender.","f8be1673-da49-5b78-517b-16094864fab7"
"Windows Defender Real-Time Protection Failure/Restart","medium","windefend","","Detects issues with Windows Defender Real-Time Protection features","73176728-033d-ef77-a174-554a0bf61f94"
"Microsoft Defender Tamper Protection Trigger","high","windefend","","Detects blocked attempts to change any of Defender's settings such as ""Real Time Monitoring"" and ""Behavior Monitoring""","f0a75367-1237-98a3-79c3-c4e7e4f5bacc"
"Windows Defender Exploit Guard Tamper","high","windefend","","Detects when someone is adding or removing applications or folders from exploit guard ""ProtectedFolders"" or ""AllowedApplications""
","2b57cd91-079d-5f13-07f4-82d7435acd38"
"Windows Defender Virus Scanning Feature Disabled","high","windefend","","Detects disabling of the Windows Defender virus scanning feature","a325b024-9641-6ee4-56c1-20eb9fc4324a"
"Antivirus PrinterNightmare CVE-2021-34527 Exploit Detection","critical","windefend","antivirus","Detects the suspicious file that is created from PoC code against Windows Print Spooler Remote Code Execution Vulnerability CVE-2021-34527 (PrinterNightmare), CVE-2021-1675 .","aef0711e-c055-e870-92bc-ea130059eed1"
